1,14.907,4,heart_step_1_120.pcd,52.324699,-,-,322
2,67.088,18,heart_step_2_160.pcd,53.209599,heart_step_2_0.pcd,57.626202,623
3,81.204,21,heart_step_3_340.pcd,32.420898,heart_step_3_0.pcd,33.019699,821
4,152.908,39,heart_step_4_340.pcd,34.880901,-,-,857
5,84.808,21,heart_step_5_20.pcd,27.197201,heart_step_5_0.pcd,32.688099,1238
6,32.924,8,heart_step_6_200.pcd,26.855000,heart_step_6_160.pcd,29.792400,1331
7,41.878,10,heart_step_7_20.pcd,23.188101,heart_step_6_20.pcd,34.889099,1594
8,34.459,8,heart_step_8_220.pcd,19.760201,heart_step_7_20.pcd,26.775700,1580
9,79.75,18,heart_step_9_0.pcd,29.203699,heart_step_9_220.pcd,30.205099,1834
1,32.677,6,heart_step_1_120.pcd,59.546398,-,-,263
2,24.59,7,heart_step_2_160.pcd,52.765999,heart_step_2_0.pcd,54.006500,575
3,74.182,19,heart_step_3_180.pcd,34.657398,-,-,850
4,51.722,14,heart_step_4_340.pcd,34.730801,-,-,907
5,44.785,12,heart_step_5_0.pcd,34.026600,-,-,1198
6,3.782,1,heart_step_6_200.pcd,34.236500,-,-,1207
7,95.372,20,heart_step_7_20.pcd,24.986500,heart_step_7_0.pcd,31.532900,1416
